"Index","gdp","canada_gdp","mexico_gdp"
2005-05-01,3553.5603218034,372905.464796197,2769.38220462891
2005-06-01,3564.31184245276,374601.732549923,2781.90168424078
2005-07-01,3573.225,376127.5,2796.235
2005-08-01,3579.24102165279,377397.695223992,2811.37945034249
2005-09-01,3584.69717733034,378488.061355264,2826.77155302881
2005-10-01,3593,379570.8,2842.25
2005-11-01,3606.97437206395,380837.87380247,2859.04317728257
2005-12-01,3622.66513445181,382003.165876334,2875.65152024942
2006-01-01,3636.6,382849.8,2892.594
2006-02-01,3644.71628149787,383137.456930947,2908.60183441048
2006-03-01,3647.68795672867,383093.807633516,2921.28481410673
2006-04-01,3647.9,383004.2,2932.176
2006-05-01,3646.88330453237,383108.665533536,2938.78627525111
2006-06-01,3647.10177471917,383410.037740989,2942.41365953458
2006-07-01,3651.1,383822.5,2944.062
2006-08-01,3660.54080074218,384313.797234765,2945.18937273008
2006-09-01,3671.73193744903,384848.548559399,2947.3198606768
2006-10-01,3679.6,385394.5,2951.899
2006-11-01,3681.55755383656,385990.152815391,2960.32722784137
2006-12-01,3680.72604809082,386656.699584313,2971.17437986344
2007-01-01,3682.025,387515.5,2983.746
2007-02-01,3689.14890079199,388587.266527642,2996.30322196546
2007-03-01,3698.95425857869,389646.945777156,3006.59155870936
2007-04-01,3710.375,390784.2,3015.702
2007-05-01,3719.57844196467,391738.457839349,3021.67325176044
2007-06-01,3727.674209107,392564.976530579,3026.59956810971
2007-07-01,3735.375,393229.5,3032.355
2007-08-01,3743.64729573767,393786.189499597,3040.74872106981
2007-09-01,3749.37912553846,394180.873968653,3049.64876852794
2007-10-01,3749.025,394371,3056.075
2007-11-01,3740.78498203089,394368.42545014,3058.67102342619
2007-12-01,3730.27963209939,394314.180997078,3059.18654118036
2008-01-01,3723.85,394387.8,3060.58
2008-02-01,3726.82381924968,394747.732859123,3064.96246871814
2008-03-01,3734.59751487062,395370.834917846,3070.64653010625
2008-04-01,3742.3,396341.5,3076.387
2008-05-01,3744.13838219716,397506.590521427,3079.77681144781
2008-06-01,3738.21210185708,398555.400448307,3079.69973797602
2008-07-01,3723.775,398972,3075.023
2008-08-01,3699.80120447415,398417.142810282,3064.09889159543
2008-09-01,3670.9846173427,396889.541276126,3045.04114341021
2008-10-01,3643.65,394604.2,3016.871
2008-11-01,3620.43621712045,391603.725597905,2977.54867098638
2008-12-01,3603.853177217,388535.971086025,2936.4885720087
2009-01-01,3593.025,385739,2899.925
2009-02-01,3588.39752598783,383764.488393322,2876.77487689538
2009-03-01,3587.91052849411,382704.79030384,2868.17639094153
2009-04-01,3589.225,382248.5,2871.567
2009-05-01,3590.81776636181,382435.338351158,2886.26824508731
2009-06-01,3594.04882576348,383159.304545026,2908.30726263843
2009-07-01,3600.625,384254.5,2930.692
2009-08-01,3611.96605578614,385680.951133178,2950.30717677694
2009-09-01,3624.88012299978,387337.890306015,2966.47218078024
2009-10-01,3635.05,389105.5,2980.046
2009-11-01,3640.59655767228,391022.551742324,2993.10492172334
2009-12-01,3643.91521483408,392808.108927239,3005.61305544427
2010-01-01,3649.425,394396.2,3019.167
2010-02-01,3659.9845939949,395584.174783788,3033.77307894585
2010-03-01,3671.94985926371,396358.102416635,3047.02518949008
2010-04-01,3684.5,396980.2,3060.483
2010-05-01,3693.56469867269,397460.625029905,3071.34211254722
2010-06-01,3701.32893521683,398028.943155002,3080.66530111149
2010-07-01,3709.825,398856.5,3088.51
2010-08-01,3721.02512283305,400134.730863158,3096.1113801459
2010-09-01,3731.19297844943,401659.973364367,3104.01801735632
2010-10-01,3735.6,403123.5,3112.761
2010-11-01,3731.97303112951,404379.027573491,3123.38063028302
2010-12-01,3725.65858329325,405157.251688324,3134.2508398275
2011-01-01,3723.5,405324.8,3144.763
2011-02-01,3730.78371350451,404833.412191578,3153.77932056882
2011-03-01,3741.85829975973,404393.67061991,3161.9416574947
2011-04-01,3752.825,404710.8,3173.006
2011-05-01,3757.79369563408,406335.103801376,3186.98184277074
2011-06-01,3760.38084432753,408735.124224036,3202.93901208442
2011-07-01,3765.525,410850,3217.278
2011-08-01,3777.38701585287,412105.133704172,3228.84730389812
2011-09-01,3793.77007701992,412603.572217284,3237.26451561883
2011-10-01,3810.525,412754.5,3243.074
2011-11-01,3825.73669282793,412908.019478461,3247.8293685459
2011-12-01,3837.33121055419,413148.795239205,3254.12570891727
2012-01-01,3845.4,413533,3265.868
2012-02-01,3849.48834969748,414068.469148156,3284.62854887362
2012-03-01,3852.12566759475,414623.181111301,3303.56409230711
2012-04-01,3856.925,415158.5,3318.189
2012-05-01,3865.55031220525,415533.068103116,3322.18105302924
2012-06-01,3875.88673078298,415788.512764528,3320.63903419528
2012-07-01,3883.5,415951,3320.687
2012-08-01,3886.16931259005,416096.831275918,3327.6856070768
2012-09-01,3885.57257595937,416369.752404785,3339.3332889253
2012-10-01,3884.9,416916.2,3350.938
2012-11-01,3886.57038739184,417863.734253289,3359.51815452261
2012-12-01,3890.40657798365,418956.847677104,3362.69565489327
2013-01-01,3895.975,419993.8,3359.226
2013-02-01,3902.68023488036,420743.697855815,3348.96621029248
2013-03-01,3909.97881071428,421295.627585252,3339.03777238236
2013-04-01,3919.925,421984.2,3334.521
2013-05-01,3931.70212283952,422887.627654168,3341.37459513907
2013-06-01,3945.54562786699,424003.559973459,3354.93218619739
2013-07-01,3959.825,425142.5,3366.895
2013-08-01,3974.11553415891,426267.179079312,3372.27302192298
2013-09-01,3984.12898043967,427261.626674746,3372.47936596539
2013-10-01,3985.575,428035.2,3371.373
